foreclosurecase_link,flaeche,verkehrswert,typ,baujahr,raeume,raum_typen,balkon,garten,objekt_lage,aktenzeichen,termin,art_der_versteigerung,beschreibung,bundesland_name
https://www.zvg-portal.de/index.php?button=showZvg&zvg_id=45609&land_abk=by,64,283000,Anderes,1959.0,3.0,"Wohnzimmer,Küche,Badezimmer",False,True,"Mehrfamilienhaus, Sonstiges: Am Hegholz  30, 97453 Schonungen",0801 K 0047/ 2023,1736323200,Versteigerung im Wege der Zwangsvollstreckung,"Gemarkung


Flurstück


Wirtschaftsart u.   Lage


Anschrift


Hektar


Blatt




Schonungen


1396/20


Wohnhaus, Hofraum,   Garten


Am Hegholz 30


0,0439


2029






Objektbeschreibung/Lage (lt Angabe d. Sachverständigen): talseitig dreigeschossiges, hangseitig eingeschossiges Dreifamilienwohnhaus mit ausgebautem Dachgeschoss (Reihenendhaus) sowie großteils ausgebautem Untergeschoss (Büroräume); Wohnflächen rd. je 55 m² (EG und OG) sowie 25 m² (DG) und Nutzfläche rd. 64 m² (UG); Baujahr ca. 1959, umfangreiche Modernisierung ab ca. 1993;",Bayern
https://www.zvg-portal.de/index.php?button=showZvg&zvg_id=45771&land_abk=by,0,0,Anderes,,,,False,False,"siehe Beschreibung: Bachstraße  9, 96274 Itzgrund-Gleußen",0003 K 0081/ 2022,1736409600,Versteigerung im Wege der Zwangsvollstreckung,"Lfd. Nr. 1
Objektbeschreibung/Lage (lt Angabe d. Sachverständigen): Das Wohnungs- und Teileigentum Nr.1 besteht laut Aufteilungsplan (ATP) aus einer abgeschlossenen 5 1/2 -Zimmer-Wohnung mit rund 198 m² Wohnfläche im Erdgeschoss und Dachgeschoss des Vorderhauses, sowie den Nutzflächen im Erdgeschoss des hinteren Wohnhauses sowie den Nutzflächen im Erd- und Dachgeschoss der Nebengebäude mit rd. 728 m². Die Raumaufteilungen können den Aufteilungsplänen im Anhang des Gutachtens entnommen werden.
 
Lfd. Nr. 2
Objektbeschreibung/Lage (lt Angabe d. Sachverständigen): Das Wohnungseigentum Nr. 2 besteht lt. Aufteilungsplan (ATP) aus einer abgeschlossenen 4 1/2 -Zimmer-Wohnung mit rd. 140 m² Wohnfläche im Obergeschoss des hinteren Wohnhauses, sowie den Nutzflächen im Dachgeschoss des hinteren Wohnhauses sowie den Nutzflächen im Spitzboden über dem Dachgeschoss des Vorderhauses mit rd. 218 m². Die Raumaufteilungen können den Aufteilungsplänen im Anhang des Gutachtens entnommen werden.  Die Wohnungs- und Teileigentumseinheiten befinden sich in einem ehemaligen landwirtschaftlichen Anwesen (Dreiseithof), mit zwei Wohnhäusern sowie ehem. Scheunen und Stallgebäuden in Massiv-, Fachwerk- und Holzbauweise. Die Aufteilung in Wohnungs- und Teileigentumseinheiten nach Wohnungseigentumsgesetz (WEG) erfolgte im Jahr 1987. Das gemischt genutzte Objekt umfasst laut Teilungserklärung (TE) eine Wohnungs- und Teileigentumseinheit Nr. 1 sowie eine Wohnungseigentumseinheit Nr. 2. Ursprungsbaujahr vorderes Wohnhaus und Hofstelle vermtl. vor/um 1890. Erweiterung des vorderen Wohnhauses mit einem Giebelanbau vermtl. um 1965. Errichtung des hinteren Wohnhauses als Aufstockung einer Stallung vermtl. um 1986. Aufteilung in Wohnungs- und Teileigentum nach WEG im Jahr 1987. Anbau einer Abstellhalle vermtl. um 1992 (Errichtung erst nach WEG Aufteilung). Im Erdgeschoss des Anwesens befindet sich eine Backstube/Bäckerei mit Verkaufsraum als Gewerbe betrieben. Es bestehen in Teilbereichen Bauschäden und Instandhaltungsmängel.",Bayern
https://www.zvg-portal.de/index.php?button=showZvg&zvg_id=45771&land_abk=by,0,0,Anderes,,,,False,False,"siehe Beschreibung: Bachstraße  9, 96274 Itzgrund-Gleußen",0003 K 0081/ 2022,1736409600,Versteigerung im Wege der Zwangsvollstreckung,"Lfd. Nr. 1
Objektbeschreibung/Lage (lt Angabe d. Sachverständigen): Das Wohnungs- und Teileigentum Nr.1 besteht laut Aufteilungsplan (ATP) aus einer abgeschlossenen 5 1/2 -Zimmer-Wohnung mit rund 198 m² Wohnfläche im Erdgeschoss und Dachgeschoss des Vorderhauses, sowie den Nutzflächen im Erdgeschoss des hinteren Wohnhauses sowie den Nutzflächen im Erd- und Dachgeschoss der Nebengebäude mit rd. 728 m². Die Raumaufteilungen können den Aufteilungsplänen im Anhang des Gutachtens entnommen werden.
 
Lfd. Nr. 2
Objektbeschreibung/Lage (lt Angabe d. Sachverständigen): Das Wohnungseigentum Nr. 2 besteht lt. Aufteilungsplan (ATP) aus einer abgeschlossenen 4 1/2 -Zimmer-Wohnung mit rd. 140 m² Wohnfläche im Obergeschoss des hinteren Wohnhauses, sowie den Nutzflächen im Dachgeschoss des hinteren Wohnhauses sowie den Nutzflächen im Spitzboden über dem Dachgeschoss des Vorderhauses mit rd. 218 m². Die Raumaufteilungen können den Aufteilungsplänen im Anhang des Gutachtens entnommen werden.  Die Wohnungs- und Teileigentumseinheiten befinden sich in einem ehemaligen landwirtschaftlichen Anwesen (Dreiseithof), mit zwei Wohnhäusern sowie ehem. Scheunen und Stallgebäuden in Massiv-, Fachwerk- und Holzbauweise. Die Aufteilung in Wohnungs- und Teileigentumseinheiten nach Wohnungseigentumsgesetz (WEG) erfolgte im Jahr 1987. Das gemischt genutzte Objekt umfasst laut Teilungserklärung (TE) eine Wohnungs- und Teileigentumseinheit Nr. 1 sowie eine Wohnungseigentumseinheit Nr. 2. Ursprungsbaujahr vorderes Wohnhaus und Hofstelle vermtl. vor/um 1890. Erweiterung des vorderen Wohnhauses mit einem Giebelanbau vermtl. um 1965. Errichtung des hinteren Wohnhauses als Aufstockung einer Stallung vermtl. um 1986. Aufteilung in Wohnungs- und Teileigentum nach WEG im Jahr 1987. Anbau einer Abstellhalle vermtl. um 1992 (Errichtung erst nach WEG Aufteilung). Im Erdgeschoss des Anwesens befindet sich eine Backstube/Bäckerei mit Verkaufsraum als Gewerbe betrieben. Es bestehen in Teilbereichen Bauschäden und Instandhaltungsmängel.",Bayern
https://www.zvg-portal.de/index.php?button=showZvg&zvg_id=45771&land_abk=by,0,0,Haus,1890.0,,,False,False,"siehe Beschreibung: Bachstraße  9, 96274 Itzgrund-Gleußen",0003 K 0081/ 2022,1736409600,Versteigerung im Wege der Zwangsvollstreckung,"Lfd. Nr. 1
Objektbeschreibung/Lage (lt Angabe d. Sachverständigen): Das Wohnungs- und Teileigentum Nr.1 besteht laut Aufteilungsplan (ATP) aus einer abgeschlossenen 5 1/2 -Zimmer-Wohnung mit rund 198 m² Wohnfläche im Erdgeschoss und Dachgeschoss des Vorderhauses, sowie den Nutzflächen im Erdgeschoss des hinteren Wohnhauses sowie den Nutzflächen im Erd- und Dachgeschoss der Nebengebäude mit rd. 728 m². Die Raumaufteilungen können den Aufteilungsplänen im Anhang des Gutachtens entnommen werden.
 
Lfd. Nr. 2
Objektbeschreibung/Lage (lt Angabe d. Sachverständigen): Das Wohnungseigentum Nr. 2 besteht lt. Aufteilungsplan (ATP) aus einer abgeschlossenen 4 1/2 -Zimmer-Wohnung mit rd. 140 m² Wohnfläche im Obergeschoss des hinteren Wohnhauses, sowie den Nutzflächen im Dachgeschoss des hinteren Wohnhauses sowie den Nutzflächen im Spitzboden über dem Dachgeschoss des Vorderhauses mit rd. 218 m². Die Raumaufteilungen können den Aufteilungsplänen im Anhang des Gutachtens entnommen werden.  Die Wohnungs- und Teileigentumseinheiten befinden sich in einem ehemaligen landwirtschaftlichen Anwesen (Dreiseithof), mit zwei Wohnhäusern sowie ehem. Scheunen und Stallgebäuden in Massiv-, Fachwerk- und Holzbauweise. Die Aufteilung in Wohnungs- und Teileigentumseinheiten nach Wohnungseigentumsgesetz (WEG) erfolgte im Jahr 1987. Das gemischt genutzte Objekt umfasst laut Teilungserklärung (TE) eine Wohnungs- und Teileigentumseinheit Nr. 1 sowie eine Wohnungseigentumseinheit Nr. 2. Ursprungsbaujahr vorderes Wohnhaus und Hofstelle vermtl. vor/um 1890. Erweiterung des vorderen Wohnhauses mit einem Giebelanbau vermtl. um 1965. Errichtung des hinteren Wohnhauses als Aufstockung einer Stallung vermtl. um 1986. Aufteilung in Wohnungs- und Teileigentum nach WEG im Jahr 1987. Anbau einer Abstellhalle vermtl. um 1992 (Errichtung erst nach WEG Aufteilung). Im Erdgeschoss des Anwesens befindet sich eine Backstube/Bäckerei mit Verkaufsraum als Gewerbe betrieben. Es bestehen in Teilbereichen Bauschäden und Instandhaltungsmängel.",Bayern
https://www.zvg-portal.de/index.php?button=showZvg&zvg_id=45771&land_abk=by,0,0,Haus,1890.0,,,False,False,"siehe Beschreibung: Bachstraße  9, 96274 Itzgrund-Gleußen",0003 K 0081/ 2022,1736409600,Versteigerung im Wege der Zwangsvollstreckung,"Lfd. Nr. 1
Objektbeschreibung/Lage (lt Angabe d. Sachverständigen): Das Wohnungs- und Teileigentum Nr.1 besteht laut Aufteilungsplan (ATP) aus einer abgeschlossenen 5 1/2 -Zimmer-Wohnung mit rund 198 m² Wohnfläche im Erdgeschoss und Dachgeschoss des Vorderhauses, sowie den Nutzflächen im Erdgeschoss des hinteren Wohnhauses sowie den Nutzflächen im Erd- und Dachgeschoss der Nebengebäude mit rd. 728 m². Die Raumaufteilungen können den Aufteilungsplänen im Anhang des Gutachtens entnommen werden.
 
Lfd. Nr. 2
Objektbeschreibung/Lage (lt Angabe d. Sachverständigen): Das Wohnungseigentum Nr. 2 besteht lt. Aufteilungsplan (ATP) aus einer abgeschlossenen 4 1/2 -Zimmer-Wohnung mit rd. 140 m² Wohnfläche im Obergeschoss des hinteren Wohnhauses, sowie den Nutzflächen im Dachgeschoss des hinteren Wohnhauses sowie den Nutzflächen im Spitzboden über dem Dachgeschoss des Vorderhauses mit rd. 218 m². Die Raumaufteilungen können den Aufteilungsplänen im Anhang des Gutachtens entnommen werden.  Die Wohnungs- und Teileigentumseinheiten befinden sich in einem ehemaligen landwirtschaftlichen Anwesen (Dreiseithof), mit zwei Wohnhäusern sowie ehem. Scheunen und Stallgebäuden in Massiv-, Fachwerk- und Holzbauweise. Die Aufteilung in Wohnungs- und Teileigentumseinheiten nach Wohnungseigentumsgesetz (WEG) erfolgte im Jahr 1987. Das gemischt genutzte Objekt umfasst laut Teilungserklärung (TE) eine Wohnungs- und Teileigentumseinheit Nr. 1 sowie eine Wohnungseigentumseinheit Nr. 2. Ursprungsbaujahr vorderes Wohnhaus und Hofstelle vermtl. vor/um 1890. Erweiterung des vorderen Wohnhauses mit einem Giebelanbau vermtl. um 1965. Errichtung des hinteren Wohnhauses als Aufstockung einer Stallung vermtl. um 1986. Aufteilung in Wohnungs- und Teileigentum nach WEG im Jahr 1987. Anbau einer Abstellhalle vermtl. um 1992 (Errichtung erst nach WEG Aufteilung). Im Erdgeschoss des Anwesens befindet sich eine Backstube/Bäckerei mit Verkaufsraum als Gewerbe betrieben. Es bestehen in Teilbereichen Bauschäden und Instandhaltungsmängel.",Bayern
https://www.zvg-portal.de/index.php?button=showZvg&zvg_id=45771&land_abk=by,0,0,Haus,1890.0,,,False,False,"siehe Beschreibung: Bachstraße  9, 96274 Itzgrund-Gleußen",0003 K 0081/ 2022,1736409600,Versteigerung im Wege der Zwangsvollstreckung,"Lfd. Nr. 1
Objektbeschreibung/Lage (lt Angabe d. Sachverständigen): Das Wohnungs- und Teileigentum Nr.1 besteht laut Aufteilungsplan (ATP) aus einer abgeschlossenen 5 1/2 -Zimmer-Wohnung mit rund 198 m² Wohnfläche im Erdgeschoss und Dachgeschoss des Vorderhauses, sowie den Nutzflächen im Erdgeschoss des hinteren Wohnhauses sowie den Nutzflächen im Erd- und Dachgeschoss der Nebengebäude mit rd. 728 m². Die Raumaufteilungen können den Aufteilungsplänen im Anhang des Gutachtens entnommen werden.
 
Lfd. Nr. 2
Objektbeschreibung/Lage (lt Angabe d. Sachverständigen): Das Wohnungseigentum Nr. 2 besteht lt. Aufteilungsplan (ATP) aus einer abgeschlossenen 4 1/2 -Zimmer-Wohnung mit rd. 140 m² Wohnfläche im Obergeschoss des hinteren Wohnhauses, sowie den Nutzflächen im Dachgeschoss des hinteren Wohnhauses sowie den Nutzflächen im Spitzboden über dem Dachgeschoss des Vorderhauses mit rd. 218 m². Die Raumaufteilungen können den Aufteilungsplänen im Anhang des Gutachtens entnommen werden.  Die Wohnungs- und Teileigentumseinheiten befinden sich in einem ehemaligen landwirtschaftlichen Anwesen (Dreiseithof), mit zwei Wohnhäusern sowie ehem. Scheunen und Stallgebäuden in Massiv-, Fachwerk- und Holzbauweise. Die Aufteilung in Wohnungs- und Teileigentumseinheiten nach Wohnungseigentumsgesetz (WEG) erfolgte im Jahr 1987. Das gemischt genutzte Objekt umfasst laut Teilungserklärung (TE) eine Wohnungs- und Teileigentumseinheit Nr. 1 sowie eine Wohnungseigentumseinheit Nr. 2. Ursprungsbaujahr vorderes Wohnhaus und Hofstelle vermtl. vor/um 1890. Erweiterung des vorderen Wohnhauses mit einem Giebelanbau vermtl. um 1965. Errichtung des hinteren Wohnhauses als Aufstockung einer Stallung vermtl. um 1986. Aufteilung in Wohnungs- und Teileigentum nach WEG im Jahr 1987. Anbau einer Abstellhalle vermtl. um 1992 (Errichtung erst nach WEG Aufteilung). Im Erdgeschoss des Anwesens befindet sich eine Backstube/Bäckerei mit Verkaufsraum als Gewerbe betrieben. Es bestehen in Teilbereichen Bauschäden und Instandhaltungsmängel.",Bayern
https://www.zvg-portal.de/index.php?button=showZvg&zvg_id=45771&land_abk=by,0,0,Haus,1890.0,,,False,False,"siehe Beschreibung: Bachstraße  9, 96274 Itzgrund-Gleußen",0003 K 0081/ 2022,1736409600,Versteigerung im Wege der Zwangsvollstreckung,"Lfd. Nr. 1
Objektbeschreibung/Lage (lt Angabe d. Sachverständigen): Das Wohnungs- und Teileigentum Nr.1 besteht laut Aufteilungsplan (ATP) aus einer abgeschlossenen 5 1/2 -Zimmer-Wohnung mit rund 198 m² Wohnfläche im Erdgeschoss und Dachgeschoss des Vorderhauses, sowie den Nutzflächen im Erdgeschoss des hinteren Wohnhauses sowie den Nutzflächen im Erd- und Dachgeschoss der Nebengebäude mit rd. 728 m². Die Raumaufteilungen können den Aufteilungsplänen im Anhang des Gutachtens entnommen werden.
 
Lfd. Nr. 2
Objektbeschreibung/Lage (lt Angabe d. Sachverständigen): Das Wohnungseigentum Nr. 2 besteht lt. Aufteilungsplan (ATP) aus einer abgeschlossenen 4 1/2 -Zimmer-Wohnung mit rd. 140 m² Wohnfläche im Obergeschoss des hinteren Wohnhauses, sowie den Nutzflächen im Dachgeschoss des hinteren Wohnhauses sowie den Nutzflächen im Spitzboden über dem Dachgeschoss des Vorderhauses mit rd. 218 m². Die Raumaufteilungen können den Aufteilungsplänen im Anhang des Gutachtens entnommen werden.  Die Wohnungs- und Teileigentumseinheiten befinden sich in einem ehemaligen landwirtschaftlichen Anwesen (Dreiseithof), mit zwei Wohnhäusern sowie ehem. Scheunen und Stallgebäuden in Massiv-, Fachwerk- und Holzbauweise. Die Aufteilung in Wohnungs- und Teileigentumseinheiten nach Wohnungseigentumsgesetz (WEG) erfolgte im Jahr 1987. Das gemischt genutzte Objekt umfasst laut Teilungserklärung (TE) eine Wohnungs- und Teileigentumseinheit Nr. 1 sowie eine Wohnungseigentumseinheit Nr. 2. Ursprungsbaujahr vorderes Wohnhaus und Hofstelle vermtl. vor/um 1890. Erweiterung des vorderen Wohnhauses mit einem Giebelanbau vermtl. um 1965. Errichtung des hinteren Wohnhauses als Aufstockung einer Stallung vermtl. um 1986. Aufteilung in Wohnungs- und Teileigentum nach WEG im Jahr 1987. Anbau einer Abstellhalle vermtl. um 1992 (Errichtung erst nach WEG Aufteilung). Im Erdgeschoss des Anwesens befindet sich eine Backstube/Bäckerei mit Verkaufsraum als Gewerbe betrieben. Es bestehen in Teilbereichen Bauschäden und Instandhaltungsmängel.",Bayern
https://www.zvg-portal.de/index.php?button=showZvg&zvg_id=45771&land_abk=by,0,0,Haus,1890.0,,,False,False,"siehe Beschreibung: Bachstraße  9, 96274 Itzgrund-Gleußen",0003 K 0081/ 2022,1736409600,Versteigerung im Wege der Zwangsvollstreckung,"Lfd. Nr. 1
Objektbeschreibung/Lage (lt Angabe d. Sachverständigen): Das Wohnungs- und Teileigentum Nr.1 besteht laut Aufteilungsplan (ATP) aus einer abgeschlossenen 5 1/2 -Zimmer-Wohnung mit rund 198 m² Wohnfläche im Erdgeschoss und Dachgeschoss des Vorderhauses, sowie den Nutzflächen im Erdgeschoss des hinteren Wohnhauses sowie den Nutzflächen im Erd- und Dachgeschoss der Nebengebäude mit rd. 728 m². Die Raumaufteilungen können den Aufteilungsplänen im Anhang des Gutachtens entnommen werden.
 
Lfd. Nr. 2
Objektbeschreibung/Lage (lt Angabe d. Sachverständigen): Das Wohnungseigentum Nr. 2 besteht lt. Aufteilungsplan (ATP) aus einer abgeschlossenen 4 1/2 -Zimmer-Wohnung mit rd. 140 m² Wohnfläche im Obergeschoss des hinteren Wohnhauses, sowie den Nutzflächen im Dachgeschoss des hinteren Wohnhauses sowie den Nutzflächen im Spitzboden über dem Dachgeschoss des Vorderhauses mit rd. 218 m². Die Raumaufteilungen können den Aufteilungsplänen im Anhang des Gutachtens entnommen werden.  Die Wohnungs- und Teileigentumseinheiten befinden sich in einem ehemaligen landwirtschaftlichen Anwesen (Dreiseithof), mit zwei Wohnhäusern sowie ehem. Scheunen und Stallgebäuden in Massiv-, Fachwerk- und Holzbauweise. Die Aufteilung in Wohnungs- und Teileigentumseinheiten nach Wohnungseigentumsgesetz (WEG) erfolgte im Jahr 1987. Das gemischt genutzte Objekt umfasst laut Teilungserklärung (TE) eine Wohnungs- und Teileigentumseinheit Nr. 1 sowie eine Wohnungseigentumseinheit Nr. 2. Ursprungsbaujahr vorderes Wohnhaus und Hofstelle vermtl. vor/um 1890. Erweiterung des vorderen Wohnhauses mit einem Giebelanbau vermtl. um 1965. Errichtung des hinteren Wohnhauses als Aufstockung einer Stallung vermtl. um 1986. Aufteilung in Wohnungs- und Teileigentum nach WEG im Jahr 1987. Anbau einer Abstellhalle vermtl. um 1992 (Errichtung erst nach WEG Aufteilung). Im Erdgeschoss des Anwesens befindet sich eine Backstube/Bäckerei mit Verkaufsraum als Gewerbe betrieben. Es bestehen in Teilbereichen Bauschäden und Instandhaltungsmängel.",Bayern
https://www.zvg-portal.de/index.php?button=showZvg&zvg_id=45668&land_abk=by,78,62000,Wohnung,1968.0,,"Wohnzimmer,Küche",True,False,"Eigentumswohnung: Galgenweg  6, 92249 Vilseck",0002 K 0028/ 2021,1736409600,Versteigerung im Wege der Zwangsvollstreckung,"Eingetragen im Grundbuch des Amtsgerichts Amberg von Schlicht
Miteigentumsanteil verbunden mit Sondereigentum
 
ME-Anteil: 97,01/1000
Sondereigentums-Art: Wohnung im OG des Hauses 1, rechts gelegen mit Balkon und einem Kellerraum
SE-Nr. 5
Blatt: 822
 
 
an Grundstück
 
Gemarkung: Schlicht
Flurstück: 530/4
Wirtschaftsart und Lage: Gebäude- und Freifläche
Anschrift: Galgenweg 6,8
Hektar: 0,0670
 
 
Gemarkung: Schlicht
Flurstück: 531/2
Wirtschaftsart und Lage: Gebäude- und Freifläche
Anschrift: Galgenweg 6
Hektar: 0,0578
 
 
Objektbeschreibung/Lage (lt Angabe d. Sachverständigen):
Einfache bis mittlere Wohnlage (fast Ortsrandlage)
mit leicht ländlicher Prägung; unbeplanter Innenbereich
nach § 34 BauGB (Mischgebiet), Gesamtfläche
mit zwei Mehrfamilienhäusern mit 8 bzw. 2
Wohnungen, ETW-Nr. 5 im Haus Galgenweg 6 im
OG, Massivgebäude mit Teilunterkellerung, Baujahr
ca. 1968, 1985 als Wohngebäude umgebaut bzw.
modernisiert, weitere Modernisierungen/Sanierungen
vorhanden (Dacheindeckung, Heizungsanlage
Öl, Schließanlage, neue Balkone), Satteldach, Teil-
KG/EG/OG/nicht ausgebautes DG), diverse Außenstellplätze,
Galgenweg 6 im Bereich der erneuerten
Gewerke guter bis neuwertiger Zustand, jedoch
Fassadenmängel, Sockelschäden sowie umfangreiche
Schäden an den befestigten Außenanlagen vorhanden,
ETW-Nr. 5 innen nicht zugänglich, ebenso
Teil-KG, Haus Galgenweg 8 (= ETW-Nr. 9+10) vermutlich
Abbruch (nicht zugänglich), Eigentümer
ETW-Nr. 9+10 ist Eigentümergemeinschaft Galgenweg
6+8, daher auch entsprechender ME-Anteil für
die ETW-Nr. 5 vorhanden (u. a. Abbruchkosten),
Haus Galgenweg 8 außen augenscheinlich mäßiger
bis schlechter (vernachlässigter) Bauzustand, alte
Welleterniteindeckung (Dach evtl. undicht), Massivgebäude,
Vollunterkellerung (lt. Recherchen tierischer
Schädlingsbefall Dachstuhl sowie Feuchtigkeitsschäden
im KG), Wohnfläche ETW-Nr. 5 ca. 78
m² (WoFlV), ein Außenstellplatz („G“) zugeordnet,
sowie 1 Kellerraum (ca. 3,7 m² Nfl.), Grundstück nahezu
voll erschlossen, von der Erschließungsstraße
aus über öffentlichen Straßengrund zugänglich bzw.
anzufahren, überwiegend gleichmäßiger Grundstücksgesamtzuschnitt,
Abt. II lastenfrei vorgetragen,
ETW-Nr. 5 wird eigen genutzt, Energieausweis
vorhanden (verbrauchsorientiert), kein Altlastenverdacht,
augenscheinlich ordentliche Hausverwaltung,
Wohngeld (ohne Rücklagen) ca. 232 € mtl.
zzgl. Rücklagen ca. 162 € mtl. (sehr hoch).;",Bayern
https://www.zvg-portal.de/index.php?button=showZvg&zvg_id=45836&land_abk=by,108,358000,Haus,2010.0,,,False,True,"Einfamilienhaus: Ortenleite 8, 96161 Gerach",0001 K 0003/ 2024,1736762400,Versteigerung im Wege der Zwangsvollstreckung,"Objektbeschreibung/Lage (lt Angabe d. Sachverständigen): Das Objekt liegt in der Gemeinde Gerach, Kreis Bamberg, Bezirk Oberfranken, Land Bayern.   Bebaut mit Wohngebäude: freistehendes, eingeschossiges, massives, nicht unterkellertes Einfamilienhaus mit ausgebauter Dachgeschossetage; Wfl. EG + DG ca. 108,43 m² zzgl. Terrasse etc.; BJ ca. 2010/2011; zzgl. Carport.",Bayern
